all
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 8034 	 8520 	 1433
1789_10_03_3447.huff 	 2559 	 2500 	 435
1790_01_08_3448.huff 	 4957 	 5197 	 848
1790_12_08_3449.huff 	 7431 	 8256 	 1400
1790_12_29_3450.huff 	 5700 	 7727 	 1401
1791_10_25_3451.huff 	 10411 	 13669 	 2267
1792_04_05_3452.huff 	 895 	 966 	 156
1792_11_06_3938.huff 	 10664 	 13927 	 2358
1792_12_12_3453.huff 	 1445 	 1122 	 190
1793_03_04_3454.huff 	 1020 	 776 	 136
1793_04_22_3455.huff 	 1495 	 1395 	 237
1793_12_03_3456.huff 	 10048 	 11444 	 1973
1794_08_07_3721.huff 	 6389 	 7626 	 1284
1794_09_25_3458.huff 	 4304 	 3992 	 653
1794_11_19_3459.huff 	 15317 	 17327 	 2927
1795_07_10_3460.huff 	 2117 	 2314 	 382
1795_12_08_3939.huff 	 10576 	 11992 	 1977
1796_03_30_3461.huff 	 4695 	 6261 	 1065
1796_08_29_3941.huff 	 6231 	 8537 	 1602
1796_09_19_3462.huff 	 24407 	 36045 	 6074
1796_12_07_3463.huff 	 13036 	 17030 	 2865
1797_03_04_3445.huff 	 10737 	 13603 	 2322
1797_05_16_3464.huff 	 12866 	 18104 	 3025
1797_11_22_3465.huff 	 9179 	 12172 	 2049
1798_03_23_3942.huff 	 3980 	 3910 	 655
1798_12_08_3466.huff 	 10530 	 13185 	 2218
1799_12_03_3467.huff 	 7415 	 9010 	 1494
1799_12_19_3943.huff 	 6775 	 7302 	 1265
1800_05_21_3944.huff 	 1893 	 1740 	 291
1800_11_22_3468.huff 	 6874 	 8215 	 1374
1801_03_04_3469.huff 	 9061 	 9923 	 1732
1801_07_12_3470.huff 	 6226 	 6877 	 1211
1801_12_08_3471.huff 	 14046 	 19077 	 3235
1802_01_01_3473.huff 	 1650 	 1400 	 234
1802_11_03_3474.huff 	 4437 	 4891 	 914
1802_12_15_3475.huff 	 10050 	 12351 	 2125
1803_01_18_3476.huff 	 6908 	 7605 	 1284
1803_06_20_3477.huff 	 10961 	 13360 	 2345
1803_10_17_3478.huff 	 10739 	 13931 	 2301
1803_12_17_3479.huff 	 4888 	 5859 	 1140
1804_11_08_3480.huff 	 9421 	 12375 	 2100
1805_03_04_3491.huff 	 10509 	 12609 	 2152
1805_12_03_3493.huff 	 12739 	 16679 	 2902
1805_12_06_3492.huff 	 5132 	 5803 	 993
1806_01_10_3494.huff 	 4115 	 4381 	 847
1806_11_27_3722.huff 	 2438 	 2562 	 425
1806_12_02_3495.huff 	 12182 	 16947 	 2881
1806_12_30_3496.huff 	 4561 	 5982 	 1175
1807_01_22_3497.huff 	 10492 	 14464 	 2478
1807_02_10_3498.huff 	 5846 	 6567 	 1143
1807_07_02_3499.huff 	 5596 	 6817 	 1174
1807_10_27_3500.huff 	 10887 	 13939 	 2373
1808_11_08_3501.huff 	 12117 	 16092 	 2710
