old-10
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 7681 	 8520 	 1433
1789_10_03_3447.huff 	 2539 	 2500 	 435
1790_01_08_3448.huff 	 4881 	 5197 	 848
1790_12_08_3449.huff 	 7273 	 8256 	 1400
1790_12_29_3450.huff 	 5615 	 7727 	 1401
1791_10_25_3451.huff 	 9993 	 13669 	 2267
1792_04_05_3452.huff 	 908 	 966 	 156
1792_11_06_3938.huff 	 10256 	 13927 	 2358
1792_12_12_3453.huff 	 1471 	 1122 	 190
1793_03_04_3454.huff 	 1062 	 776 	 136
1793_04_22_3455.huff 	 1535 	 1395 	 237
1793_12_03_3456.huff 	 10116 	 11444 	 1973
1794_08_07_3721.huff 	 6245 	 7626 	 1284
1794_09_25_3458.huff 	 4270 	 3992 	 653
1794_11_19_3459.huff 	 14791 	 17327 	 2927
1795_07_10_3460.huff 	 2096 	 2314 	 382
1795_12_08_3939.huff 	 10390 	 11992 	 1977
1796_03_30_3461.huff 	 4815 	 6261 	 1065
1796_08_29_3941.huff 	 6293 	 8537 	 1602
1796_09_19_3462.huff 	 23055 	 36045 	 6074
1796_12_07_3463.huff 	 12843 	 17030 	 2865
1797_03_04_3445.huff 	 10534 	 13603 	 2322
1797_05_16_3464.huff 	 12679 	 18104 	 3025
1797_11_22_3465.huff 	 9201 	 12172 	 2049
1798_03_23_3942.huff 	 3963 	 3910 	 655
1798_12_08_3466.huff 	 10482 	 13185 	 2218
1799_12_03_3467.huff 	 7528 	 9010 	 1494
1799_12_19_3943.huff 	 6529 	 7302 	 1265
1800_05_21_3944.huff 	 1871 	 1740 	 291
1800_11_22_3468.huff 	 6993 	 8215 	 1374
1801_03_04_3469.huff 	 9011 	 9923 	 1732
1801_07_12_3470.huff 	 6218 	 6877 	 1211
1801_12_08_3471.huff 	 13912 	 19077 	 3235
1802_01_01_3473.huff 	 1711 	 1400 	 234
1802_11_03_3474.huff 	 4576 	 4891 	 914
1802_12_15_3475.huff 	 10098 	 12351 	 2125
1803_01_18_3476.huff 	 6966 	 7605 	 1284
1803_06_20_3477.huff 	 10546 	 13360 	 2345
1803_10_17_3478.huff 	 10710 	 13931 	 2301
1803_12_17_3479.huff 	 5062 	 5859 	 1140
1804_11_08_3480.huff 	 9456 	 12375 	 2100
1805_03_04_3491.huff 	 10399 	 12609 	 2152
1805_12_03_3493.huff 	 12603 	 16679 	 2902
1805_12_06_3492.huff 	 5280 	 5803 	 993
1806_01_10_3494.huff 	 4201 	 4381 	 847
1806_11_27_3722.huff 	 2452 	 2562 	 425
1806_12_02_3495.huff 	 12233 	 16947 	 2881
1806_12_30_3496.huff 	 4767 	 5982 	 1175
1807_01_22_3497.huff 	 10244 	 14464 	 2478
1807_02_10_3498.huff 	 5907 	 6567 	 1143
1807_07_02_3499.huff 	 5633 	 6817 	 1174
1807_10_27_3500.huff 	 10876 	 13939 	 2373
1808_11_08_3501.huff 	 12085 	 16092 	 2710
1809_03_04_3482.huff 	 6858 	 6905 	 1177
1809_04_03_3502.huff 	 2238 	 1863 	 337
1809_05_23_3607.huff 	 5911 	 6514 	 1116
1809_11_29_3608.huff 	 8855 	 10868 	 1832
1810_10_27_3610.huff 	 3531 	 3654 	 624
1810_12_05_3609.huff 	 11391 	 14772 	 2451
1811_02_21_3611.huff 	 2075 	 2062 	 335
1811_11_05_3613.huff 	 10709 	 13690 	 2275
1812_06_01_3614.huff 	 12112 	 17228 	 2851
1812_06_19_3615.huff 	 1864 	 1674 	 289
1812_07_09_3616.huff 	 2132 	 1808 	 311
1812_11_04_3619.huff 	 14627 	 19251 	 3251
1813_03_04_3620.huff 	 6835 	 7055 	 1211
1813_05_25_3621.huff 	 10179 	 12168 	 2111
1813_07_23_3622.huff 	 4663 	 4624 	 799
1813_12_07_3623.huff 	 14066 	 19136 	 3262
1814_09_01_3624.huff 	 4397 	 4141 	 696
1814_09_20_3625.huff 	 10741 	 12363 	 2115
1815_01_30_3626.huff 	 5735 	 7358 	 1281
1815_02_18_3627.huff 	 4969 	 4958 	 829
1815_12_05_3628.huff 	 13813 	 19107 	 3186
1816_12_03_3629.huff 	 14134 	 19976 	 3370
1817_03_03_3630.huff 	 3657 	 4856 	 815
1817_03_04_3483.huff 	 13049 	 19556 	 3379
1817_12_02_3594.huff 	 15659 	 25759 	 4447
1818_11_16_3596.huff 	 15885 	 25970 	 4378
1819_12_07_3597.huff 	 15251 	 27356 	 4711
1820_11_14_3598.huff 	 13877 	 20068 	 3464
1821_03_05_3601.huff 	 16150 	 25884 	 4482
1821_07_04_3484.huff 	 2837 	 2603 	 447
1821_12_03_3602.huff 	 17282 	 33708 	 5858
1822_12_03_3603.huff 	 16535 	 27660 	 4765
1823_12_02_3604.huff 	 20842 	 37578 	 6423
1824_12_07_3606.huff 	 22715 	 48968 	 8444
1825_03_04_3513.huff 	 12958 	 17489 	 2917
1825_12_06_3514.huff 	 27750 	 53039 	 9088
1826_12_05_3515.huff 	 23798 	 45626 	 7848
1827_12_04_3516.huff 	 23760 	 41545 	 7058
1828_12_02_3517.huff 	 23775 	 43365 	 7391
1829_03_04_3485.huff 	 6555 	 6722 	 1128
1829_05_11_3631.huff 	 1886 	 2348 	 402
1829_12_08_3632.huff 	 30633 	 61903 	 10568
1830_10_05_3633.huff 	 2415 	 4812 	 846
1830_12_06_3634.huff 	 36321 	 88827 	 15043
1831_12_06_3635.huff 	 23208 	 42221 	 7211
1832_07_10_3636.huff 	 19863 	 46421 	 8138
1832_12_04_3637.huff 	 24857 	 46153 	 7903
1833_03_04_3639.huff 	 6170 	 6946 	 1176
1833_12_03_3640.huff 	 22569 	 46194 	 7930
1834_12_01_3641.huff 	 34417 	 79060 	 13514
1835_12_07_3642.huff 	 29570 	 63520 	 10864
1836_12_05_3643.huff 	 31861 	 72318 	 12428
1837_03_04_3486.huff 	 16985 	 23066 	 3846
1837_03_04_3644.huff 	 24496 	 47766 	 8254
1837_09_04_3724.huff 	 28359 	 69051 	 11785
1837_12_05_3589.huff 	 31277 	 67914 	 11513
1838_01_05_3725.huff 	 2342 	 2348 	 396
1838_12_03_3591.huff 	 31552 	 68824 	 11558
1839_12_02_3592.huff 	 34891 	 78957 	 13492
1840_12_05_3593.huff 	 28186 	 54157 	 9014
1841_01_02_3726.huff 	 4377 	 5047 	 882
1841_03_04_3548.huff 	 24672 	 48991 	 8465
1841_12_07_3549.huff 	 26707 	 48129 	 8295
1845_03_04_3550.huff 	 16978 	 28267 	 4814
1849_03_05_3551.huff 	 6259 	 6504 	 1091
1850_12_02_3552.huff 	 27248 	 49039 	 8373
1852_07_06_3487.huff 	 19970 	 60149 	 10878
1853_03_04_3553.huff 	 15127 	 19750 	 3342
1853_12_05_3728.huff 	 30726 	 57134 	 9677
1854_01_18_3727.huff 	 1792 	 1619 	 271
1854_10_16_3503.huff 	 33321 	 181760 	 33420
1854_12_04_3729.huff 	 32267 	 60991 	 10213
1855_12_31_3730.huff 	 32692 	 69350 	 11672
1856_12_02_3731.huff 	 30718 	 62898 	 10567
1857_03_04_3554.huff 	 11841 	 16532 	 2836
1857_12_08_3732.huff 	 34146 	 80636 	 13775
1858_06_16_3504.huff 	 11775 	 17778 	 3226
1858_12_06_3733.huff 	 38694 	 96899 	 16505
1859_12_19_3734.huff 	 32598 	 72729 	 12513
1860_02_27_3505.huff 	 15860 	 34825 	 6164
1860_12_03_3735.huff 	 34721 	 82815 	 14150
1861_02_11_3506.huff 	 1170 	 776 	 152
1861_03_04_3507.huff 	 13047 	 41212 	 7272
1861_07_04_3508.huff 	 18784 	 71328 	 12572
1861_12_03_3736.huff 	 24522 	 40806 	 7052
1862_12_01_3737.huff 	 27655 	 48876 	 8550
1863_01_01_3509.huff 	 3345 	 4146 	 711
1863_08_26_3510.huff 	 7581 	 17822 	 3396
1863_11_19_3511.huff 	 1721 	 1421 	 272
1863_12_08_3738.huff 	 23177 	 36487 	 6221
1864_12_06_3739.huff 	 23368 	 34799 	 5997
1865_03_04_3512.huff 	 4348 	 3849 	 705
1865_12_04_3555.huff 	 28412 	 53861 	 9294
1869_03_04_3556.huff 	 6062 	 6379 	 1132
1869_12_06_3740.huff 	 25065 	 45152 	 7777
1870_12_05_3741.huff 	 28849 	 51175 	 8847
1871_12_04_3742.huff 	 22884 	 38083 	 6476
1872_12_02_3743.huff 	 31639 	 60356 	 10410
1873_03_04_3557.huff 	 6821 	 7578 	 1341
1873_12_01_3744.huff 	 31398 	 59270 	 10156
1874_12_07_3745.huff 	 29235 	 57804 	 9889
1875_12_07_3746.huff 	 34346 	 71928 	 12324
1876_12_05_3747.huff 	 23141 	 40126 	 6860
1877_03_05_3558.huff 	 10656 	 14676 	 2494
1877_12_03_3748.huff 	 31625 	 63915 	 10862
1878_12_02_3749.huff 	 27443 	 47668 	 8037
1879_12_01_3750.huff 	 32882 	 69987 	 11801
1880_12_06_3751.huff 	 38637 	 80960 	 13593
1881_03_04_3559.huff 	 13061 	 17494 	 2993
1881_12_06_3560.huff 	 42062 	 80527 	 13710
1882_12_04_3752.huff 	 34980 	 61739 	 10519
1883_12_04_3753.huff 	 31126 	 51361 	 8681
1884_12_01_3754.huff 	 31803 	 54237 	 9112
1885_03_04_3571.huff 	 8531 	 9990 	 1691
1885_12_08_3755.huff 	 51509 	 119104 	 19979
1886_12_06_3756.huff 	 42346 	 91414 	 15374
1887_12_06_3757.huff 	 18532 	 31173 	 5365
1888_12_03_3758.huff 	 41891 	 80055 	 13434
1889_03_04_3561.huff 	 17670 	 25858 	 4407
1889_12_03_3765.huff 	 36829 	 76723 	 13143
1890_12_01_3766.huff 	 34186 	 68497 	 11675
1891_12_09_3767.huff 	 41198 	 95438 	 16536
1892_12_06_3768.huff 	 38409 	 80454 	 14111
1893_03_04_3572.huff 	 10711 	 12214 	 2028
1893_08_08_3759.huff 	 9891 	 12221 	 2104
1893_12_04_3760.huff 	 41880 	 75480 	 12681
1894_12_03_3762.huff 	 46775 	 96239 	 16370
1895_12_02_3763.huff 	 41521 	 88452 	 14868
1896_12_07_3764.huff 	 45469 	 93353 	 15901
1897_03_04_3562.huff 	 16080 	 23247 	 3977
1897_12_06_3769.huff 	 35109 	 71532 	 12225
1898_12_05_3770.huff 	 53635 	 121684 	 20533
1899_12_05_3771.huff 	 55557 	 137444 	 23065
1900_12_03_3772.huff 	 52942 	 116387 	 19479
1901_03_04_3563.huff 	 10962 	 13190 	 2225
1901_12_03_3773.huff 	 47066 	 113948 	 19736
1902_12_02_3774.huff 	 29966 	 56737 	 9838
1903_12_07_3775.huff 	 40242 	 88561 	 15059
1904_12_06_3776.huff 	 44230 	 102379 	 17559
1905_03_04_3564.huff 	 4983 	 5471 	 991
1905_12_05_3777.huff 	 52819 	 145178 	 25168
1906_12_03_3778.huff 	 52104 	 135848 	 23725
1907_12_03_3779.huff 	 55838 	 159425 	 27581
1908_12_09_3780.huff 	 46369 	 113651 	 19565
1909_03_04_3565.huff 	 18549 	 31728 	 5442
1909_11_17_3781.huff 	 18619 	 43497 	 7878
1909_12_07_3782.huff 	 35264 	 83523 	 13985
1910_12_06_3783.huff 	 56260 	 165510 	 28272
1911_01_26_3784.huff 	 10573 	 13874 	 2294
1911_12_05_3785.huff 	 50340 	 141324 	 23994
1912_12_03_3786.huff 	 53543 	 150971 	 25409
1913_03_04_3566.huff 	 8365 	 9371 	 1712
1913_07_04_3787.huff 	 6165 	 6716 	 1267
1913_10_25_3788.huff 	 8009 	 10553 	 1956
1913_12_02_3789.huff 	 14076 	 20203 	 3567
1914_01_20_3790.huff 	 10238 	 14764 	 2523
1914_08_20_3791.huff 	 3710 	 3517 	 632
1914_10_20_3792.huff 	 4982 	 5704 	 1078
1914_12_08_3793.huff 	 15633 	 24912 	 4548
1915_12_07_3794.huff 	 23042 	 44028 	 7772
1916_09_02_3795.huff 	 18767 	 31612 	 5537
1916_12_05_3796.huff 	 9008 	 12584 	 2127
1917_01_22_3797.huff 	 9427 	 14958 	 2685
1917_03_05_3567.huff 	 6849 	 8248 	 1531
1917_04_02_4722.huff 	 13844 	 20662 	 3679
1917_04_06_3798.huff 	 5663 	 8770 	 1541
1917_12_04_3799.huff 	 14283 	 21693 	 3935
1918_12_02_3801.huff 	 19172 	 30929 	 5495
1919_12_02_3802.huff 	 18096 	 28090 	 4773
1920_12_07_3803.huff 	 11660 	 15879 	 2744
1921_03_04_3568.huff 	 15179 	 19866 	 3346
1921_12_06_3804.huff 	 21185 	 33673 	 5652
1922_12_08_3805.huff 	 21859 	 34829 	 5786
1923_12_06_3806.huff 	 22876 	 40357 	 6746
1924_12_03_3807.huff 	 22971 	 41883 	 7019
1925_03_04_3569.huff 	 15656 	 23540 	 4057
1925_12_08_3808.huff 	 30679 	 65151 	 10958
1926_12_07_3809.huff 	 30519 	 61672 	 10407
1927_08_10_3810.huff 	 5444 	 6136 	 1044
1927_12_06_3811.huff 	 27856 	 53186 	 8880
1928_10_22_6000.huff 	 19356 	 36485 	 6211
1928_12_04_3812.huff 	 28070 	 49225 	 8168
1929_03_04_3570.huff 	 13682 	 22593 	 3766
1929_07_24_3813.huff 	 5650 	 6529 	 1100
1933_03_04_3280.huff 	 9569 	 10793 	 1901
1933_03_12_3298.huff 	 7532 	 9868 	 1797
1933_05_07_3299.huff 	 12329 	 16903 	 2971
1933_07_24_3300.huff 	 12058 	 16411 	 2971
1933_10_22_3301.huff 	 10739 	 14915 	 2720
1934_06_28_3302.huff 	 11746 	 14532 	 2531
1934_09_30_3303.huff 	 13079 	 18648 	 3163
1935_04_28_3304.huff 	 12604 	 17888 	 3096
1936_06_27_3305.huff 	 9273 	 11307 	 2015
1936_09_06_3306.huff 	 12648 	 18203 	 3207
1936_10_31_3307.huff 	 10694 	 13653 	 2468
1937_01_20_3308.huff 	 9149 	 10372 	 1825
1937_03_09_3309.huff 	 13933 	 22920 	 4066
1937_10_05_3310.huff 	 9118 	 10818 	 1864
1937_10_12_3311.huff 	 12895 	 18377 	 3271
1937_11_14_3312.huff 	 7019 	 9290 	 1634
1938_04_14_3313.huff 	 15968 	 25830 	 4599
1938_06_24_3314.huff 	 14309 	 20302 	 3533
1938_07_08_3573.huff 	 7086 	 8211 	 1446
1939_09_03_3315.huff 	 5663 	 6699 	 1241
1940_05_26_3316.huff 	 14864 	 21263 	 3871
1940_06_10_3317.huff 	 8431 	 11016 	 1970
1940_07_19_3318.huff 	 14168 	 19715 	 3544
1940_12_29_3319.huff 	 15120 	 22208 	 4041
1941_01_06_3320.huff 	 13751 	 18840 	 3330
1941_01_20_3321.huff 	 6521 	 7368 	 1362
1941_03_15_3322.huff 	 12823 	 16647 	 3031
1941_05_27_3814.huff 	 17806 	 26288 	 4620
1941_09_11_3323.huff 	 11708 	 17146 	 3065
1941_12_08_3324.huff 	 3280 	 3075 	 518
1941_12_09_3325.huff 	 12644 	 16543 	 3023
1941_12_11_3815.huff 	 927 	 817 	 139
1942_02_23_3326.huff 	 16045 	 23646 	 4251
1942_04_28_3327.huff 	 15885 	 21408 	 3868
1942_09_07_3328.huff 	 12357 	 17350 	 3180
1942_10_12_3329.huff 	 14154 	 19085 	 3483
1943_01_07_3816.huff 	 17567 	 25610 	 4625
1943_05_02_3330.huff 	 10171 	 13529 	 2465
1943_07_28_3331.huff 	 14552 	 19271 	 3468
1943_09_08_3332.huff 	 6834 	 7822 	 1466
1943_12_01_3817.huff 	 2377 	 1986 	 351
1943_12_24_3333.huff 	 13525 	 18778 	 3397
1944_01_11_3955.huff 	 13963 	 19341 	 3469
1944_06_05_3334.huff 	 8283 	 9264 	 1665
1944_06_12_3335.huff 	 8048 	 9091 	 1650
1944_07_20_3336.huff 	 8726 	 9844 	 1777
1945_01_20_3337.huff 	 3339 	 2924 	 561
1945_02_11_3819.huff 	 8218 	 12294 	 2019
1945_03_01_3338.huff 	 18591 	 33424 	 6044
1945_04_16_3339.huff 	 8921 	 10593 	 1880
1945_05_08_3340.huff 	 3921 	 3768 	 709
1945_08_06_3820.huff 	 6378 	 6616 	 1166
1945_08_09_3821.huff 	 14131 	 23062 	 4075
1945_09_01_3341.huff 	 5991 	 6795 	 1268
1945_10_27_3342.huff 	 10967 	 14596 	 2603
1947_03_12_3343.huff 	 9474 	 13236 	 2213
1947_06_20_3344.huff 	 7340 	 10155 	 1807
1947_06_29_3345.huff 	 6474 	 7000 	 1232
1948_07_15_3346.huff 	 9531 	 14429 	 2721
1948_09_18_3347.huff 	 3579 	 3874 	 794
1948_09_18_3348.huff 	 3900 	 4234 	 817
1948_11_03_3349.huff 	 1510 	 1432 	 285
1949_01_20_3350.huff 	 9832 	 13356 	 2284
1951_04_11_3351.huff 	 8704 	 13392 	 2469
1952_03_15_3352.huff 	 7223 	 10065 	 1970
1952_03_29_3353.huff 	 12063 	 20233 	 3804
1952_09_23_4638.huff 	 12458 	 24060 	 4800
1952_10_22_3354.huff 	 5050 	 6513 	 1280
1953_01_15_3355.huff 	 13396 	 19751 	 3802
1953_01_20_3356.huff 	 11571 	 13616 	 2476
1953_04_16_3357.huff 	 11912 	 15977 	 2918
1953_12_08_3358.huff 	 12915 	 17666 	 3075
1956_08_23_3359.huff 	 17783 	 25074 	 4406
1957_01_05_3360.huff 	 13464 	 20490 	 3443
1960_07_15_3362.huff 	 12037 	 14003 	 2558
1960_09_12_3363.huff 	 7344 	 8671 	 1561
1960_09_26_5728.huff 	 20233 	 59322 	 11037
1960_10_07_5729.huff 	 22412 	 61224 	 11385
1960_10_13_5730.huff 	 22083 	 58786 	 10930
1960_10_21_5731.huff 	 21005 	 59337 	 10991
1961_01_09_3364.huff 	 5001 	 5012 	 911
1961_01_17_3361.huff 	 10048 	 10919 	 1858
1961_01_20_3365.huff 	 7044 	 7371 	 1368
1961_01_30_5945.huff 	 21646 	 30901 	 5301
1961_02_21_5946.huff 	 4314 	 5288 	 975
1961_03_01_3366.huff 	 2560 	 2297 	 412
1961_03_13_5732.huff 	 11001 	 14460 	 2479
1961_04_20_5669.huff 	 21648 	 47395 	 7751
1961_04_20_5739.huff 	 7935 	 8546 	 1531
1961_04_27_3677.huff 	 11566 	 14123 	 2453
1961_05_03_5947.huff 	 3514 	 3405 	 617
1961_05_17_5928.huff 	 12263 	 16773 	 3010
1961_05_25_3368.huff 	 21093 	 34311 	 5911
1961_06_06_5948.huff 	 12528 	 35680 	 6434
1961_06_07_5949.huff 	 6560 	 7245 	 1309
1961_07_25_5740.huff 	 15526 	 22697 	 4138
1961_09_25_5741.huff 	 17173 	 25491 	 4509
1961_10_12_5950.huff 	 9288 	 10634 	 1907
1961_11_11_5951.huff 	 5383 	 5671 	 1044
1961_11_16_3369.huff 	 9510 	 11895 	 2112
1961_12_06_5952.huff 	 20087 	 37681 	 6663
1961_12_07_5953.huff 	 12856 	 22628 	 4239
1961_12_11_5954.huff 	 2484 	 2358 	 467
1962_01_11_5742.huff 	 25616 	 38107 	 6589
1962_03_23_5765.huff 	 10392 	 12958 	 2270
1962_06_06_5766.huff 	 10087 	 13071 	 2371
1962_06_11_3370.huff 	 15279 	 22262 	 3886
1962_09_12_3371.huff 	 10368 	 11798 	 2230
1962_09_30_5743.huff 	 5675 	 6401 	 1139
1962_10_22_3372.huff 	 10765 	 14156 	 2452
1963_01_14_5762.huff 	 21316 	 30865 	 5436
1963_05_18_3373.huff 	 8897 	 11485 	 2028
1963_05_30_3380.huff 	 3523 	 3696 	 707
1963_06_05_5763.huff 	 10197 	 12605 	 2203
1963_06_10_3374.huff 	 14234 	 19184 	 3455
1963_06_11_3375.huff 	 8464 	 10902 	 1997
1963_06_26_3376.huff 	 3362 	 3506 	 676
1963_07_26_3377.huff 	 12155 	 17668 	 3130
1963_09_20_5764.huff 	 14622 	 20149 	 3564
1963_09_26_3378.huff 	 13552 	 20472 	 3755
1963_10_26_3379.huff 	 8581 	 10390 	 1881
1963_11_27_3381.huff 	 7481 	 8874 	 1646
1963_11_28_5657.huff 	 5044 	 10870 	 2058
1963_12_17_5658.huff 	 6940 	 16912 	 3094
1964_01_08_3382.huff 	 13895 	 18148 	 3230
1964_02_01_5898.huff 	 14841 	 22118 	 4003
1964_02_21_3523.huff 	 6445 	 6509 	 1182
1964_02_29_5899.huff 	 14303 	 47492 	 8586
1964_03_07_5900.huff 	 15986 	 26415 	 4754
1964_04_16_5901.huff 	 15858 	 25085 	 4624
1964_04_20_5659.huff 	 16001 	 49894 	 8778
1964_05_06_5902.huff 	 15444 	 25009 	 4540
1964_05_22_3383.huff 	 8191 	 9864 	 1821
1964_07_02_3525.huff 	 5667 	 5778 	 1035
1964_07_24_5903.huff 	 14725 	 25201 	 4549
1964_08_04_3998.huff 	 3239 	 3121 	 549
1964_08_05_5930.huff 	 5047 	 6264 	 1100
1964_08_27_5660.huff 	 8217 	 24002 	 4614
1964_10_09_3526.huff 	 13492 	 23147 	 4568
1964_10_18_5661.huff 	 8193 	 21070 	 3906
1964_10_27_3405.huff 	 17661 	 25390 	 4766
1965_01_04_4000.huff 	 16541 	 24371 	 4390
1965_01_20_4031.huff 	 6978 	 7866 	 1493
1965_02_04_5904.huff 	 13563 	 24770 	 4516
1965_03_13_5905.huff 	 12681 	 21423 	 3913
1965_03_15_3386.huff 	 12926 	 19640 	 3729
1965_03_20_5906.huff 	 16507 	 26473 	 4815
1965_03_26_5932.huff 	 4607 	 4276 	 769
1965_03_26_5933.huff 	 4649 	 5077 	 940
1965_04_07_5662.huff 	 11016 	 30725 	 5771
1965_04_27_5907.huff 	 16751 	 25644 	 4692
1965_04_28_4032.huff 	 1623 	 1480 	 247
1965_05_02_4033.huff 	 10292 	 15061 	 2671
1965_05_13_5934.huff 	 10796 	 13579 	 2480
1965_06_01_5908.huff 	 15638 	 25682 	 4607
1965_06_04_3387.huff 	 11725 	 15615 	 2833
1965_06_11_5935.huff 	 5792 	 5994 	 1135
1965_06_25_5664.huff 	 8510 	 20683 	 3684
1965_07_13_5909.huff 	 14530 	 23586 	 4298
1965_07_28_5910.huff 	 17000 	 28343 	 5262
1965_08_06_4034.huff 	 8356 	 10152 	 1869
1965_08_25_5911.huff 	 16973 	 27420 	 4955
1966_01_12_4035.huff 	 18683 	 31122 	 5579
1966_01_31_5936.huff 	 4059 	 4489 	 809
1966_02_23_5937.huff 	 14586 	 21337 	 3947
1966_03_23_5938.huff 	 7763 	 8963 	 1599
1966_06_30_5939.huff 	 13323 	 20932 	 3857
1966_07_05_5912.huff 	 16983 	 27400 	 4953
1966_07_12_4038.huff 	 10519 	 13840 	 2553
1966_07_20_5913.huff 	 14324 	 22829 	 4109
1966_10_06_5914.huff 	 14071 	 21968 	 3946
1966_10_15_5525.huff 	 4805 	 4923 	 844
1966_10_17_5915.huff 	 2180 	 1770 	 320
1966_12_31_5916.huff 	 10446 	 17175 	 3208
1967_01_10_5665.huff 	 22154 	 81162 	 14476
1967_02_02_5917.huff 	 10387 	 17381 	 3259
1967_03_09_5918.huff 	 14267 	 24123 	 4464
1967_03_15_5940.huff 	 14581 	 19810 	 3468
1967_07_24_4039.huff 	 4548 	 5292 	 905
1967_07_27_4040.huff 	 9437 	 10736 	 1918
1967_08_18_5919.huff 	 13863 	 23903 	 4382
1967_09_29_4041.huff 	 11864 	 15784 	 2830
1967_11_17_5920.huff 	 16198 	 29410 	 5599
1967_12_19_5921.huff 	 20229 	 47525 	 9073
1968_01_17_5666.huff 	 17080 	 55892 	 9962
1968_03_31_3388.huff 	 14915 	 23073 	 4142
1968_04_01_5941.huff 	 10602 	 13966 	 2616
1968_04_03_5922.huff 	 1359 	 2462 	 420
1968_04_11_4036.huff 	 3831 	 3639 	 690
1968_07_01_4037.huff 	 5887 	 6726 	 1146
1968_10_31_3389.huff 	 8277 	 11884 	 2102
1969_01_14_5667.huff 	 14592 	 45774 	 8292
1969_01_20_3587.huff 	 9424 	 11219 	 2131
1969_11_03_3873.huff 	 14762 	 25427 	 4585
1970_01_22_3889.huff 	 16051 	 24748 	 4493
1970_04_30_3890.huff 	 10203 	 15606 	 2731
1971_01_22_3874.huff 	 14299 	 25178 	 4551
1971_02_25_3875.huff 	 13322 	 20015 	 3559
1971_04_07_3876.huff 	 9714 	 14219 	 2612
1971_05_20_3877.huff 	 1840 	 1641 	 273
1972_01_20_3878.huff 	 14804 	 22498 	 4016
1972_01_25_3879.huff 	 9361 	 14341 	 2537
1972_05_08_3880.huff 	 8926 	 12715 	 2243
1972_11_06_3881.huff 	 3000 	 3152 	 597
1972_11_07_3882.huff 	 3329 	 3634 	 703
1973_01_20_3588.huff 	 6638 	 9713 	 1819
1973_01_23_3884.huff 	 5479 	 6895 	 1257
1973_04_30_3885.huff 	 11022 	 15404 	 2773
1973_08_15_3886.huff 	 13194 	 20461 	 3630
1974_01_30_3887.huff 	 15760 	 28681 	 5209
1974_02_25_3888.huff 	 14885 	 28996 	 5414
1974_04_29_3872.huff 	 15408 	 27013 	 4814
1974_08_08_3871.huff 	 7082 	 9649 	 1811
1974_08_09_3390.huff 	 4833 	 4578 	 850
1974_08_09_3891.huff 	 6572 	 8997 	 1837
1974_09_08_5598.huff 	 5804 	 5834 	 1094
1974_09_16_3522.huff 	 4017 	 3482 	 594
1974_09_18_5498.huff 	 9398 	 12184 	 2096
1974_10_08_3283.huff 	 17639 	 25104 	 4356
1975_01_15_5499.huff 	 16537 	 24233 	 4179
1975_04_10_5500.huff 	 20957 	 35761 	 6117
1975_04_23_3392.huff 	 10975 	 13481 	 2400
