recent-10
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 7975 	 8520 	 1433
1789_10_03_3447.huff 	 2616 	 2500 	 435
1790_01_08_3448.huff 	 5132 	 5197 	 848
1790_12_08_3449.huff 	 7636 	 8256 	 1400
1790_12_29_3450.huff 	 5762 	 7727 	 1401
1791_10_25_3451.huff 	 10569 	 13669 	 2267
1792_04_05_3452.huff 	 927 	 966 	 156
1792_11_06_3938.huff 	 10813 	 13927 	 2358
1792_12_12_3453.huff 	 1502 	 1122 	 190
1793_03_04_3454.huff 	 1077 	 776 	 136
1793_04_22_3455.huff 	 1576 	 1395 	 237
1793_12_03_3456.huff 	 10344 	 11444 	 1973
1794_08_07_3721.huff 	 6380 	 7626 	 1284
1794_09_25_3458.huff 	 4337 	 3992 	 653
1794_11_19_3459.huff 	 15125 	 17327 	 2927
1795_07_10_3460.huff 	 2134 	 2314 	 382
1795_12_08_3939.huff 	 10681 	 11992 	 1977
1796_03_30_3461.huff 	 4910 	 6261 	 1065
1796_08_29_3941.huff 	 6313 	 8537 	 1602
1796_09_19_3462.huff 	 23585 	 36045 	 6074
1796_12_07_3463.huff 	 13158 	 17030 	 2865
1797_03_04_3445.huff 	 10686 	 13603 	 2322
1797_05_16_3464.huff 	 12957 	 18104 	 3025
1797_11_22_3465.huff 	 9394 	 12172 	 2049
1798_03_23_3942.huff 	 3983 	 3910 	 655
1798_12_08_3466.huff 	 10702 	 13185 	 2218
1799_12_03_3467.huff 	 7691 	 9010 	 1494
1799_12_19_3943.huff 	 6539 	 7302 	 1265
1800_05_21_3944.huff 	 1882 	 1740 	 291
1800_11_22_3468.huff 	 7117 	 8215 	 1374
1801_03_04_3469.huff 	 9018 	 9923 	 1732
1801_07_12_3470.huff 	 6251 	 6877 	 1211
1801_12_08_3471.huff 	 14198 	 19077 	 3235
1802_01_01_3473.huff 	 1718 	 1400 	 234
1802_11_03_3474.huff 	 4548 	 4891 	 914
1802_12_15_3475.huff 	 10230 	 12351 	 2125
1803_01_18_3476.huff 	 7064 	 7605 	 1284
