old-300
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 13809 	 8520 	 1433
1789_10_03_3447.huff 	 4076 	 2500 	 435
1790_01_08_3448.huff 	 7825 	 5197 	 848
1790_12_08_3449.huff 	 12994 	 8256 	 1400
1790_12_29_3450.huff 	 13218 	 7727 	 1401
1791_10_25_3451.huff 	 20818 	 13669 	 2267
1792_04_05_3452.huff 	 1433 	 966 	 156
1792_11_06_3938.huff 	 21925 	 13927 	 2358
1792_12_12_3453.huff 	 1822 	 1122 	 190
1793_03_04_3454.huff 	 1267 	 776 	 136
1793_04_22_3455.huff 	 2171 	 1395 	 237
1793_12_03_3456.huff 	 18111 	 11444 	 1973
1794_08_07_3721.huff 	 12191 	 7626 	 1284
1794_09_25_3458.huff 	 6296 	 3992 	 653
1794_11_19_3459.huff 	 27870 	 17327 	 2927
1795_07_10_3460.huff 	 3848 	 2314 	 382
1795_12_08_3939.huff 	 18713 	 11992 	 1977
1796_03_30_3461.huff 	 9505 	 6261 	 1065
1796_08_29_3941.huff 	 15442 	 8537 	 1602
1796_09_19_3462.huff 	 58986 	 36045 	 6074
1796_12_07_3463.huff 	 26685 	 17030 	 2865
1797_03_04_3445.huff 	 21851 	 13603 	 2322
1797_05_16_3464.huff 	 28176 	 18104 	 3025
1797_11_22_3465.huff 	 18981 	 12172 	 2049
1798_03_23_3942.huff 	 6259 	 3910 	 655
1798_12_08_3466.huff 	 20507 	 13185 	 2218
1799_12_03_3467.huff 	 13629 	 9010 	 1494
1799_12_19_3943.huff 	 12925 	 7302 	 1265
1800_05_21_3944.huff 	 2880 	 1740 	 291
1800_11_22_3468.huff 	 12567 	 8215 	 1374
1801_03_04_3469.huff 	 16641 	 9923 	 1732
1801_07_12_3470.huff 	 11660 	 6877 	 1211
1801_12_08_3471.huff 	 30511 	 19077 	 3235
1802_01_01_3473.huff 	 2280 	 1400 	 234
1802_11_03_3474.huff 	 8692 	 4891 	 914
1802_12_15_3475.huff 	 20040 	 12351 	 2125
1803_01_18_3476.huff 	 12175 	 7605 	 1284
1803_06_20_3477.huff 	 23194 	 13360 	 2345
1803_10_17_3478.huff 	 21674 	 13931 	 2301
1803_12_17_3479.huff 	 10862 	 5859 	 1140
1804_11_08_3480.huff 	 19363 	 12375 	 2100
1805_03_04_3491.huff 	 20785 	 12609 	 2152
1805_12_03_3493.huff 	 27290 	 16679 	 2902
1805_12_06_3492.huff 	 9392 	 5803 	 993
1806_01_10_3494.huff 	 8242 	 4381 	 847
1806_11_27_3722.huff 	 4011 	 2562 	 425
1806_12_02_3495.huff 	 26984 	 16947 	 2881
1806_12_30_3496.huff 	 11239 	 5982 	 1175
1807_01_22_3497.huff 	 23683 	 14464 	 2478
1807_02_10_3498.huff 	 10959 	 6567 	 1143
1807_07_02_3499.huff 	 10883 	 6817 	 1174
1807_10_27_3500.huff 	 22403 	 13939 	 2373
1808_11_08_3501.huff 	 25213 	 16092 	 2710
1809_03_04_3482.huff 	 11085 	 6905 	 1177
1809_04_03_3502.huff 	 3300 	 1863 	 337
1809_05_23_3607.huff 	 10152 	 6514 	 1116
1809_11_29_3608.huff 	 16893 	 10868 	 1832
1810_10_27_3610.huff 	 5672 	 3654 	 624
1810_12_05_3609.huff 	 22575 	 14772 	 2451
1811_02_21_3611.huff 	 3168 	 2062 	 335
1811_11_05_3613.huff 	 21262 	 13690 	 2275
1812_06_01_3614.huff 	 27202 	 17228 	 2851
1812_06_19_3615.huff 	 2670 	 1674 	 289
1812_07_09_3616.huff 	 2991 	 1808 	 311
1812_11_04_3619.huff 	 30625 	 19251 	 3251
1813_03_04_3620.huff 	 11555 	 7055 	 1211
1813_05_25_3621.huff 	 19524 	 12168 	 2111
